"No.","Time","Delta","Source","Destination","Protocol","Length","Src Port","Dst Port","Info"
"12711","433.250355","0.031664","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12712","433.284160","0.033805","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12713","433.327419","0.043259","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12714","433.360882","0.033463","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12715","433.393536","0.032654","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12716","433.422926","0.029390","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12717","433.454672","0.031746","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12718","433.487234","0.032562","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12719","433.518893","0.031659","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12720","433.550688","0.031795","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12721","433.582231","0.031543","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12722","433.614830","0.032599","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12723","433.648669","0.033839","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12724","433.690506","0.041837","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12725","433.725704","0.035198","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12726","433.758482","0.032778","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12727","433.790568","0.032086","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12728","433.818829","0.028261","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12729","433.856626","0.037797","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12730","433.883397","0.026771","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12731","433.923418","0.040021","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12732","433.951721","0.028303","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12733","433.980411","0.028690","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12734","434.010169","0.029758","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12735","434.041213","0.031044","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12736","434.072007","0.030794","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12737","434.102957","0.030950","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12738","434.140775","0.037818","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12739","434.173151","0.032376","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12740","434.213314","0.040163","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12741","434.252880","0.039566","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12742","434.287848","0.034968","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12743","434.319516","0.031668","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12744","434.352623","0.033107","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12745","434.383813","0.031190","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12746","434.421701","0.037888","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12747","434.452936","0.031235","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12748","434.484299","0.031363","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12749","434.515155","0.030856","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12750","434.548266","0.033111","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12751","434.583035","0.034769","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12752","434.617273","0.034238","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12753","434.650089","0.032816","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12754","434.682773","0.032684","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12755","434.716139","0.033366","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12756","434.749913","0.033774","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12757","434.783646","0.033733","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12758","434.815046","0.031400","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12759","434.851765","0.036719","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12760","434.880586","0.028821","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12761","434.911435","0.030849","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12762","434.940672","0.029237","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12763","434.971970","0.031298","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12764","435.001673","0.029703","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12765","435.016134","0.014461","192.168.21.67","236.10.10.10","PSN","109","59993","56565","59993  >  56565 Len=77"
"12766","435.034039","0.017905","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12767","435.066256","0.032217","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12768","435.096632","0.030376","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12769","435.127200","0.030568","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12770","435.156815","0.029615","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12771","435.188507","0.031692","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12772","435.220469","0.031962","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12773","435.254211","0.033742","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12774","435.294493","0.040282","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12775","435.333410","0.038917","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12776","435.362563","0.029153","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12777","435.391834","0.029271","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12778","435.427386","0.035552","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12779","435.459578","0.032192","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12780","435.489591","0.030013","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12781","435.521543","0.031952","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12782","435.560297","0.038754","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
