"No.","Time","Delta TIme","Source","Destination","Protocol","Length","S. Port","D. Port","Info"
"188","3.862030","0.019903","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"189","3.882326","0.020296","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"190","3.903603","0.021277","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"191","3.922587","0.018984","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"192","3.931517","0.008930","172.32.249.105","236.10.10.10","PSN","124","64421","56565","64421  >  56565 Len=82"
"193","3.940506","0.008989","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"194","3.959657","0.019151","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"195","3.977402","0.017745","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"196","3.997614","0.020212","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"197","4.019679","0.022065","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"198","4.041541","0.021862","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"199","4.062970","0.021429","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"200","4.085221","0.022251","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"201","4.107444","0.022223","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"202","4.129098","0.021654","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"203","4.150722","0.021624","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"204","4.172252","0.021530","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"205","4.193439","0.021187","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"206","4.214979","0.021540","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"207","4.237124","0.022145","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"208","4.257640","0.020516","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"209","4.279962","0.022322","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"210","4.301969","0.022007","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"211","4.322262","0.020293","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"212","4.341934","0.019672","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"213","4.362752","0.020818","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"214","4.380634","0.017882","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"215","4.400611","0.019977","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"216","4.420338","0.019727","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"217","4.440401","0.020063","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"218","4.460709","0.020308","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"219","4.482194","0.021485","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"220","4.503518","0.021324","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"221","4.525218","0.021700","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"222","4.547198","0.021980","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"223","4.569548","0.022350","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"224","4.592041","0.022493","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"225","4.614628","0.022587","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"226","4.636663","0.022035","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"227","4.657457","0.020794","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"228","4.679566","0.022109","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"229","4.702115","0.022549","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"230","4.724096","0.021981","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"231","4.746402","0.022306","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"232","4.768490","0.022088","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"233","4.790601","0.022111","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"234","4.812495","0.021894","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"235","4.832329","0.019834","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"236","4.852540","0.020211","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"237","4.872051","0.019511","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"238","4.893126","0.021075","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"239","4.911906","0.018780","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"240","4.932624","0.020718","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"241","4.954848","0.022224","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"242","4.976658","0.021810","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"243","4.999065","0.022407","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"244","5.021069","0.022004","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"245","5.043051","0.021982","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"246","5.065203","0.022152","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"247","5.087750","0.022547","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"248","5.109705","0.021955","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"249","5.131754","0.022049","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"250","5.153523","0.021769","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
"251","5.175876","0.022353","172.32.249.105","236.10.10.10","PSN","90","64421","56565","64421  >  56565 Len=48"
